City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Catamarca,AR,-28.4696,-65.7852,70.59,54,0,9.71,clear sky
314,Ganserndorf,AT,48.3392,16.7202,54.99,55,37,7.49,scattered clouds
315,Phangnga,TH,8.4509,98.5298,77.04,93,2,2.44,clear sky
316,Atasu,KZ,48.6814,71.6433,30.52,91,96,9.6,overcast clouds
317,Husavik,IS,66.0449,-17.3389,40.33,87,100,10.51,overcast clouds
318,Neustadt,DE,49.7117,12.0872,46.15,76,5,3.96,clear sky
319,Whitehorse,CA,60.7161,-135.0538,37.02,52,92,5.01,overcast clouds
320,Port Augusta,AU,-32.5,137.7667,75.31,37,0,1.1,clear sky
321,Tual,ID,-5.6667,132.75,82.36,75,100,14.92,overcast clouds
322,Bow Island,CA,49.8668,-111.3684,51.62,35,25,10.85,scattered clouds
323,Hasaki,JP,35.7333,140.8333,63.28,83,100,14.72,overcast clouds
324,Mezen,RU,65.8522,44.24,15.03,65,100,16.06,overcast clouds
325,Katsuura,JP,35.1333,140.3,60.82,89,100,7.38,overcast clouds
326,Mnogovershinnyy,RU,53.9353,139.9242,15.8,95,100,11.25,light snow
327,Ballina,AU,-28.8667,153.5667,68.02,96,98,5.75,light rain
328,Dariba,IN,24.95,74.1333,76.48,12,2,8.46,clear sky
329,Tarko-Sale,RU,64.9225,77.785,-5.12,100,81,5.5,broken clouds
330,Vytegra,RU,61.0064,36.4481,20.52,88,100,21.21,light snow
331,Ustye,RU,59.6304,39.736,26.26,94,93,14.65,light snow
332,Abu Dhabi,AE,24.4667,54.3667,73.96,69,0,1.01,clear sky
333,Kununurra,AU,-15.7667,128.7333,78.78,89,81,0.0,broken clouds
334,Yaan,NG,7.3833,8.5667,84.96,43,59,5.17,broken clouds
335,Hailar,CN,49.2,119.7,16.27,90,70,7.36,broken clouds
336,Tasiilaq,GL,65.6145,-37.6368,21.36,64,1,8.95,clear sky
337,Ryotsu,JP,38.0833,138.4333,47.95,83,97,9.75,overcast clouds
338,Codrington,AU,-38.2667,141.9667,67.95,44,0,6.93,clear sky
339,Keffi,NG,8.8486,7.8736,83.61,17,20,5.12,few clouds
340,Wageningen,NL,51.9667,5.6667,50.04,92,4,6.91,clear sky
341,Kruisfontein,ZA,-34.0033,24.7314,60.89,94,45,2.21,scattered clouds
