City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Shenzhen,CN,2022-03-26 21:40:59,22.5455,114.0683,75.83,92,80,6.71
89,Juanjui,PE,2022-03-26 21:44:05,-7.1779,-76.7314,82.71,76,90,1.34
90,Balabac,PH,2022-03-26 21:44:05,7.9868,117.0645,81.32,81,100,8.79
91,Hithadhoo,MV,2022-03-26 21:35:59,-0.6,73.0833,82.72,69,1,11.14
92,Zenzeli,RU,2022-03-26 21:44:06,45.9241,47.0474,39.83,76,65,12.91
93,Christchurch,NZ,2022-03-26 21:41:59,-43.5333,172.6333,64.33,81,100,2.3
94,Northam,GB,2022-03-26 21:45:06,51.0333,-4.2167,52.61,64,0,8.43
95,Cabo San Lucas,MX,2022-03-26 21:45:07,22.8909,-109.9124,87.62,44,39,6.89
96,Batagay-Alyta,RU,2022-03-26 21:45:07,67.8006,130.4114,-0.17,85,100,4.5
97,Atar,MR,2022-03-26 21:38:47,20.5169,-13.0499,75.22,12,31,3.47
98,Georgetown,MY,2022-03-26 21:33:21,5.4112,100.3354,82.33,82,20,5.01
99,Guerrero Negro,MX,2022-03-26 21:45:08,27.9769,-114.0611,76.12,40,30,11.25
100,Oxelosund,SE,2022-03-26 21:45:08,58.6706,17.1015,30.58,64,0,2.3
101,Te Anau,NZ,2022-03-26 21:45:08,-45.4167,167.7167,54.68,83,62,0.45
102,Kangaatsiaq,GL,2022-03-26 21:45:09,68.3065,-53.4641,13.86,86,100,8.41
103,Launceston,AU,2022-03-26 21:42:06,-41.45,147.1667,60.15,90,100,0.0
104,New Norfolk,AU,2022-03-26 21:37:40,-42.7826,147.0587,55.71,82,2,2.19
105,Bethel,US,2022-03-26 21:45:09,41.3712,-73.414,46.49,77,0,3.44
106,Doha,QA,2022-03-26 21:45:10,25.2867,51.5333,69.78,38,0,20.71
107,Saskylakh,RU,2022-03-26 21:38:52,71.9167,114.0833,-27.62,100,100,3.11
108,Cap Malheureux,MU,2022-03-26 21:45:10,-19.9842,57.6142,80.47,82,4,3.0
109,Urumqi,CN,2022-03-26 21:45:11,43.801,87.6005,38.35,45,0,4.47
110,Puerto Ayora,EC,2022-03-26 21:37:35,-0.7393,-90.3518,82.36,75,56,9.64
111,Butaritari,KI,2022-03-26 21:39:06,3.0707,172.7902,81.93,72,100,11.77
